date,sales
2025-01-01,200
2025-01-02,210
2025-01-03,215
2025-01-04,220
2025-01-05,230
2025-01-06,240
2025-01-07,250
2025-01-08,245
2025-01-09,260
2025-01-10,270
2025-01-11,280
2025-01-12,275
2025-01-13,290
2025-01-14,300
2025-01-15,310
2025-01-16,305
2025-01-17,320
2025-01-18,330
2025-01-19,340
2025-01-20,335
2025-01-21,350
2025-01-22,360
2025-01-23,370
2025-01-24,365
2025-01-25,380
2025-01-26,390
2025-01-27,400
2025-01-28,395
2025-01-29,410
2025-01-30,420
2025-01-31,430
2025-02-01,440
2025-02-02,450
2025-02-03,460
2025-02-04,470
2025-02-05,480
2025-02-06,490
2025-02-07,500
2025-02-08,510
2025-02-09,520
2025-02-10,530
2025-02-11,540
2025-02-12,550
2025-02-13,560
2025-02-14,570
2025-02-15,580
2025-02-16,590
2025-02-17,600
2025-02-18,610
2025-02-19,620
2025-02-20,630
2025-02-21,640
2025-02-22,650
2025-02-23,660
2025-02-24,670
2025-02-25,680
2025-02-26,690
2025-02-27,700
2025-02-28,710
2025-03-01,720
2025-03-02,730
2025-03-03,740
2025-03-04,750
2025-03-05,760
2025-03-06,770
2025-03-07,780
2025-03-08,790
2025-03-09,800
2025-03-10,810
2025-03-11,820
2025-03-12,830
2025-03-13,840
2025-03-14,850
2025-03-15,860
2025-03-16,870
2025-03-17,880
2025-03-18,890
2025-03-19,900
2025-03-20,910
2025-03-21,920
2025-03-22,930
2025-03-23,940
2025-03-24,950
2025-03-25,960
2025-03-26,970
2025-03-27,980
2025-03-28,990
2025-03-29,1000
2025-03-30,1010
2025-03-31,1020
2025-04-01,1030
2025-04-02,1040
2025-04-03,1050
2025-04-04,1060
2025-04-05,1070
2025-04-06,1080
2025-04-07,1090
2025-04-08,1100
2025-04-09,1110
2025-04-10,1120
